Golden State Warriors,Utah Jazz,Home
Memphis Grizzlies,Seattle SuperSonics,Home
Charlotte Bobcats,San Antonio Spurs,Home
Sacramento Kings,Portland Trail Blazers,Visiting
Philadelphia 76ers,Minnesota Timberwolves,Home
Atlanta Hawks,Los Angeles Lakers,Home
Orlando Magic,Detroit Pistons,Visiting
Boston Celtics,Denver Nuggets,Home
Houston Rockets,Cleveland Cavaliers,Visiting
Dallas Mavericks,Phoenix Suns,Home
Miami Heat,Chicago Bulls,Home
New Jersey Nets,Toronto Raptors,Home
Utah Jazz,Seattle SuperSonics,Visiting
Memphis Grizzlies,Philadelphia 76ers,Home
Denver Nuggets,Orlando Magic,Home
Los Angeles Lakers,Minnesota Timberwolves,Visiting
New Orleans Hornets,Milwaukee Bucks,Visiting
Washington Wizards,Los Angeles Clippers,Visiting
Sacramento Kings,Houston Rockets,Home
Phoenix Suns,Golden State Warriors,Home
Indiana Pacers,Detroit Pistons,Home
Portland Trail Blazers,Dallas Mavericks,Home
San Antonio Spurs,Cleveland Cavaliers,Visiting
Atlanta Hawks,Charlotte Bobcats,Home
New York Knicks,Boston Celtics,Home
Minnesota Timberwolves,New Jersey Nets,Home
Denver Nuggets,Miami Heat,Visiting
Sacramento Kings,Memphis Grizzlies,Home
Boston Celtics,Indiana Pacers,Visiting
New Orleans Hornets,Chicago Bulls,Visiting
Detroit Pistons,Atlanta Hawks,Visiting
San Antonio Spurs,Toronto Raptors,Visiting
Dallas Mavericks,Philadelphia 76ers,Home
Cleveland Cavaliers,Orlando Magic,Visiting
Los Angeles Clippers,Milwaukee Bucks,Visiting
Portland Trail Blazers,Houston Rockets,Home
Washington Wizards,Golden State Warriors,Home
Los Angeles Lakers,Charlotte Bobcats,Visiting
Washington Wizards,Phoenix Suns,Home
Dallas Mavericks,New Jersey Nets,Home
Toronto Raptors,Minnesota Timberwolves,Visiting
Los Angeles Lakers,Miami Heat,Visiting
Charlotte Bobcats,Detroit Pistons,Home
Denver Nuggets,Cleveland Cavaliers,Visiting
San Antonio Spurs,Boston Celtics,Home
Chicago Bulls,Utah Jazz,Home
Los Angeles Clippers,Philadelphia 76ers,Home
Memphis Grizzlies,New Orleans Hornets,Home
New York Knicks,Milwaukee Bucks,Visiting
Portland Trail Blazers,Indiana Pacers,Home
Atlanta Hawks,Houston Rockets,Home
Sacramento Kings,Golden State Warriors,Home
Los Angeles Clippers,Toronto Raptors,Visiting
Utah Jazz,Sacramento Kings,Home
Seattle SuperSonics,Phoenix Suns,Home
Los Angeles Lakers,Orlando Magic,Visiting
San Antonio Spurs,New York Knicks,Visiting
Boston Celtics,Minnesota Timberwolves,Visiting
Portland Trail Blazers,Detroit Pistons,Home
Washington Wizards,Denver Nuggets,Home
Memphis Grizzlies,Dallas Mavericks,Home
New Jersey Nets,Charlotte Bobcats,Visiting
Cleveland Cavaliers,Atlanta Hawks,Visiting
Miami Heat,Philadelphia 76ers,Home
Cleveland Cavaliers,Houston Rockets,Home
Chicago Bulls,Golden State Warriors,Visiting
San Antonio Spurs,Washington Wizards,Visiting
Seattle SuperSonics,Sacramento Kings,Visiting
